machine_type,vibration_rms,temperature_motor,current_phase_avg,pressure_level,rpm,operating_mode,hours_since_maintenance,ambient_temp,rul_hours,failure_within_24h,failure_type,temp_gap,vibration_rpm_interaction,pressure_current_interaction,vibration_delta,temperature_delta,anomaly_trend_raw,health_score,health_status
CNC,0.81,49.51,5.1,23.6,860.9,idle,273.8,13.9,61.0,0,none,35.61,697.3290000000001,120.36,0.0,0.0,0.0,0.8638849615189879,good
CNC,0.75,40.58,5.3,23.6,899.6,idle,273.85,10.2,60.95,0,none,30.38,674.7,125.08,-0.06000000000000005,-8.93,0.0,0.8976106544315006,good
CNC,0.71,49.7,,21.3,862.7,idle,274.15,13.6,60.65,0,none,36.1,612.517,,-0.040000000000000036,9.120000000000005,3.648000000000002,0.8506521127077877,good
CNC,0.76,43.04,4.79,22.6,870.4,idle,274.55,13.4,60.25,0,none,29.64,661.504,108.254,0.050000000000000044,-6.660000000000004,0.030000000000000027,0.8900937080773732,good
CNC,0.88,41.39,4.44,22.2,881.9,idle,274.7,10.8,60.1,0,none,30.59,776.072,98.56800000000001,0.12,-1.6499999999999986,0.072,0.8922870261792094,good
CNC,0.94,42.0,4.77,23.6,853.2,idle,275.18,16.1,59.62,0,none,25.9,802.008,112.572,0.05999999999999994,0.6099999999999994,0.27999999999999975,0.886782051270685,good
CNC,0.88,41.71,4.1,25.7,917.6,idle,275.58,10.8,59.22,0,none,30.91,807.488,105.36999999999999,-0.05999999999999994,-0.28999999999999915,0.0,0.8865349963214771,good
CNC,2.93,54.57,10.13,78.0,2932.1,normal,275.72,11.4,59.08,0,none,43.17,8591.053,790.1400000000001,2.0500000000000003,12.86,6.3740000000000006,0.6142480479001782,warning
CNC,0.74,44.95,4.05,25.5,868.1,idle,275.78,11.6,59.02,0,none,33.35,642.394,103.27499999999999,-2.1900000000000004,-9.619999999999997,0.0,0.8808695071910473,good
CNC,0.9,43.12,4.78,23.3,862.9,idle,276.0,16.1,58.8,0,none,27.019999999999996,776.61,111.37400000000001,0.16000000000000003,-1.8300000000000054,0.09600000000000002,0.8846891041986167,good
CNC,0.99,47.75,5.41,25.4,891.9,idle,276.42,9.2,58.38,0,none,38.55,882.981,137.414,0.08999999999999997,4.630000000000003,1.9060000000000012,0.8524973984763031,good
CNC,1.27,40.88,4.29,20.3,872.8,idle,276.65,10.9,58.15,0,none,29.980000000000004,,87.087,0.0,-6.869999999999997,0.0,0.8846973342225608,good
CNC,0.82,42.71,5.24,22.1,869.7,idle,277.02,16.6,57.78,0,none,26.11,713.154,115.80400000000002,0.0,1.8299999999999983,0.7319999999999993,0.8865494422987041,good
CNC,0.86,41.41,5.2,20.4,919.1,idle,277.35,8.7,57.45,0,none,32.709999999999994,790.426,106.08,0.040000000000000036,-1.3000000000000043,0.02400000000000002,0.8934988928377461,good
CNC,0.93,41.99,4.01,24.9,899.5,idle,277.73,10.9,57.07,0,none,31.090000000000003,836.5350000000001,99.84899999999999,0.07000000000000006,0.5800000000000054,0.27400000000000224,0.8840885671180997,good
CNC,2.82,61.57,9.98,65.6,2834.8,normal,277.8,16.7,57.0,0,none,44.870000000000005,7994.136,654.688,1.8899999999999997,19.58,8.966,0.5951242547513496,warning
CNC,0.96,46.23,4.5,20.4,871.8,idle,278.03,14.4,56.77,0,none,31.83,836.9279999999999,91.8,-1.8599999999999999,-15.340000000000003,0.0,0.8743078590582487,good
CNC,0.8,47.3,4.96,25.3,883.1,idle,278.25,11.6,56.55,0,none,35.699999999999996,706.48,125.488,-0.15999999999999992,1.0700000000000003,0.42800000000000016,0.8677722281941496,good
CNC,0.74,47.13,5.14,23.4,904.0,idle,278.63,17.4,56.17,0,none,29.730000000000004,668.96,120.27599999999998,-0.06000000000000005,-0.1699999999999946,0.0,0.8735188524728886,good
